,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2021-08-14,Sat,Matchweek 18,Home,L 1–4,Leeds United,Arsenal,Y,CB,90,35,45,77.8,712,282,8,11,72.7,24,29,82.8,3,5,60.0,0,0.0,0.0,0,3,0,0,3,/en/matches/53b542d8/Leeds-United-Arsenal-December-18-2021-Premier-League
1,2021-08-14,Sun,Matchweek 21,Home,W 3–1,Leeds United,Burnley,Y,CB,90,21,31,67.7,346,156,8,11,72.7,12,16,75.0,0,1,0.0,0,0.0,0.0,0,0,0,0,1,/en/matches/cff8022b/Leeds-United-Burnley-January-2-2022-Premier-League
2,2021-08-14,Sun,Matchweek 22,Away,W 3–2,Leeds United,West Ham,Y,DM,90,21,32,65.6,330,80,9,15,60.0,11,15,73.3,0,0,,0,0.0,0.0,0,4,0,0,1,/en/matches/62c16969/West-Ham-United-Leeds-United-January-16-2022-Premier-League
3,2021-08-14,Sat,Matchweek 23,Home,L 0–1,Leeds United,Newcastle Utd,Y,DM,90,24,35,68.6,405,134,13,17,76.5,8,13,61.5,2,4,50.0,0,0.0,0.0,1,0,1,0,4,/en/matches/07df6328/Leeds-United-Newcastle-United-January-22-2022-Premier-League
4,2021-08-14,Wed,Matchweek 24,Away,D 3–3,Leeds United,Aston Villa,Y,DM,90,36,39,92.3,777,173,9,9,100.0,20,21,95.2,5,6,83.3,0,0.0,0.1,1,2,2,0,4,/en/matches/f1e84229/Aston-Villa-Leeds-United-February-9-2022-Premier-League
5,2021-08-14,Sat,Matchweek 25,Away,L 0–3,Leeds United,Everton,Y,CB,90,45,54,83.3,952,303,9,9,100.0,33,38,86.8,3,6,50.0,0,0.0,0.0,0,3,0,0,1,/en/matches/0a51943e/Everton-Leeds-United-February-12-2022-Premier-League
6,2021-08-14,Sun,Matchweek 26,Home,L 2–4,Leeds United,Manchester Utd,Y,DM,30,6,7,85.7,80,20,3,3,100.0,3,4,75.0,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/002f0ff0/Leeds-United-Manchester-United-February-20-2022-Premier-League
7,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021-08-14,Sat,Matchweek 27,Home,L 0–4,Leeds United,Tottenham,Y,"CB,DM",90,40,47,85.1,811,234,12,14,85.7,26,28,92.9,2,3,66.7,0,0.0,0.1,0,1,1,0,5,/en/matches/05d37de9/Leeds-United-Tottenham-Hotspur-February-26-2022-Premier-League
9,2021-08-14,Sat,Matchweek 28,Away,L 0–1,Leeds United,Leicester City,Y,DM,90,31,36,86.1,531,174,15,17,88.2,13,13,100.0,1,2,50.0,0,0.0,0.0,0,7,1,0,4,/en/matches/1d777dcd/Leicester-City-Leeds-United-March-5-2022-Premier-League
10,2021-08-14,Thu,Matchweek 20,Home,L 0–3,Leeds United,Aston Villa,Y,DM,90,30,40,75.0,513,136,17,21,81.0,8,11,72.7,5,7,71.4,0,0.1,0.0,1,4,0,0,3,/en/matches/79b8fb6e/Leeds-United-Aston-Villa-March-10-2022-Premier-League
11,2021-08-14,Sun,Matchweek 29,Home,W 2–1,Leeds United,Norwich City,N,DM,31,8,12,66.7,144,32,4,5,80.0,3,6,50.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,/en/matches/b13fb9b9/Leeds-United-Norwich-City-March-13-2022-Premier-League
12,2021-08-14,Fri,Matchweek 30,Away,W 3–2,Leeds United,Wolves,N,"DM,CB",51,23,25,92.0,524,181,7,7,100.0,11,13,84.6,5,5,100.0,0,0.2,0.0,1,6,1,0,3,/en/matches/1c402923/Wolverhampton-Wanderers-Leeds-United-March-18-2022-Premier-League
13,2021-08-14,Sat,Matchweek 31,Home,D 1–1,Leeds United,Southampton,N,"On matchday squad, but did not play",/en/matches/abc88be4/Leeds-United-Southampton-April-2-2022-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
14,2021-08-14,Sat,Matchweek 32,Away,W 3–0,Leeds United,Watford,Y,DM,90,25,44,56.8,275,100,13,20,65.0,7,12,58.3,0,2,0.0,0,0.0,0.0,0,2,0,0,3,/en/matches/b18deecf/Watford-Leeds-United-April-9-2022-Premier-League
15,2021-08-14,Mon,Matchweek 34,Away,D 0–0,Leeds United,Crystal Palace,N,DM,45,12,20,60.0,194,78,6,9,66.7,6,8,75.0,0,1,0.0,0,0.0,0.0,0,1,0,0,3,/en/matches/1a9f4c1e/Crystal-Palace-Leeds-United-April-25-2022-Premier-League
16,2021-08-14,Sat,Matchweek 35,Home,L 0–4,Leeds United,Manchester City,Y,CB,90,49,58,84.5,923,333,19,22,86.4,24,25,96.0,6,10,60.0,0,0.0,0.0,0,1,0,0,1,/en/matches/5ce80a04/Leeds-United-Manchester-City-April-30-2022-Premier-League
17,2021-08-14,Sun,Matchweek 36,Away,L 1–2,Leeds United,Arsenal,Y,CB,90,41,47,87.2,815,283,15,15,100.0,20,22,90.9,6,10,60.0,0,0.0,0.0,0,0,0,0,0,/en/matches/ef41dec1/Arsenal-Leeds-United-May-8-2022-Premier-League
18,2021-08-14,Wed,Matchweek 33,Home,L 0–3,Leeds United,Chelsea,Y,"RB,CB",90,29,39,74.4,482,220,18,22,81.8,9,14,64.3,2,3,66.7,0,0.0,0.0,0,1,0,0,1,/en/matches/6f225dc6/Leeds-United-Chelsea-May-11-2022-Premier-League
19,2021-08-14,Sun,Matchweek 37,Home,D 1–1,Leeds United,Brighton,Y,RB,67,20,23,87.0,306,124,9,11,81.8,8,9,88.9,1,1,100.0,0,0.0,0.0,1,2,0,0,3,/en/matches/1ca898da/Leeds-United-Brighton-and-Hove-Albion-May-15-2022-Premier-League
20,2021-08-14,Sun,Matchweek 38,Away,W 2–1,Leeds United,Brentford,Y,"RB,RM",90,39,57,68.4,566,280,22,29,75.9,13,19,68.4,1,3,33.3,0,0.0,0.0,0,5,0,0,6,/en/matches/076ca089/Brentford-Leeds-United-May-22-2022-Premier-League
