,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2021-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2021-08-22,Sun,Matchweek 12,Home,W 2–1,Tottenham,Leeds United,N,WB,12,3,8,37.5,58,43,2,4,50.0,0,2,0.0,1,2,50.0,0,0.0,0.0,1,1,0,0,0,/en/matches/a74a684e/Tottenham-Hotspur-Leeds-United-November-21-2021-Premier-League
2,2021-08-22,Thu,Matchweek 14,Home,W 2–0,Tottenham,Brentford,N,"On matchday squad, but did not play",/en/matches/a80b3790/Tottenham-Hotspur-Brentford-December-2-2021-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
3,2021-08-22,Sun,Matchweek 15,Home,W 3–0,Tottenham,Norwich City,N,WB,69,20,26,76.9,245,37,12,15,80.0,5,6,83.3,1,2,50.0,0,0.0,0.0,0,1,1,0,1,/en/matches/78e62deb/Tottenham-Hotspur-Norwich-City-December-5-2021-Premier-League
4,2021-08-22,Sun,Matchweek 18,Home,D 2–2,Tottenham,Liverpool,Y,LB,85,30,41,73.2,401,146,17,20,85.0,9,14,64.3,1,3,33.3,0,0.0,0.1,0,1,0,0,2,/en/matches/4ac8dee4/Tottenham-Hotspur-Liverpool-December-19-2021-Premier-League
5,2021-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2021-08-22,Wed,Matchweek 17,Away,W 3–2,Tottenham,Leicester City,N,"On matchday squad, but did not play",/en/matches/77d28549/Leicester-City-Tottenham-Hotspur-January-19-2022-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
7,2021-08-22,Sun,Matchweek 23,Away,L 0–2,Tottenham,Chelsea,Y,LM,55,4,8,50.0,28,6,4,7,57.1,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0,/en/matches/29e164e3/Chelsea-Tottenham-Hotspur-January-23-2022-Premier-League
8,2021-08-22,Wed,Matchweek 24,Home,L 2–3,Tottenham,Southampton,N,"On matchday squad, but did not play",/en/matches/0613df22/Tottenham-Hotspur-Southampton-February-9-2022-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
9,2021-08-22,Sun,Matchweek 25,Home,L 0–2,Tottenham,Wolves,Y,WB,27,9,14,64.3,126,18,3,5,60.0,5,7,71.4,0,1,0.0,0,0.0,0.0,0,0,0,0,0,/en/matches/fe93b491/Tottenham-Hotspur-Wolverhampton-Wanderers-February-13-2022-Premier-League
10,2021-08-22,Sat,Matchweek 26,Away,W 3–2,Tottenham,Manchester City,Y,WB,89,14,20,70.0,234,114,9,12,75.0,3,4,75.0,2,3,66.7,0,0.0,0.0,0,1,0,0,2,/en/matches/cd797899/Manchester-City-Tottenham-Hotspur-February-19-2022-Premier-League
11,2021-08-22,Wed,Matchweek 13,Away,L 0–1,Tottenham,Burnley,Y,WB,78,39,46,84.8,494,61,24,25,96.0,12,14,85.7,1,2,50.0,0,0.0,0.0,1,0,0,0,2,/en/matches/f8d646cb/Burnley-Tottenham-Hotspur-February-23-2022-Premier-League
12,2021-08-22,Sat,Matchweek 27,Away,W 4–0,Tottenham,Leeds United,Y,WB,77,12,16,75.0,213,102,5,6,83.3,6,7,85.7,1,1,100.0,1,0.4,0.2,2,0,3,1,3,/en/matches/05d37de9/Leeds-United-Tottenham-Hotspur-February-26-2022-Premier-League
13,2021-08-22,Mon,Matchweek 28,Home,W 5–0,Tottenham,Everton,Y,WB,45,17,22,77.3,274,77,9,11,81.8,7,10,70.0,1,1,100.0,0,0.0,0.0,0,2,1,0,3,/en/matches/6e11eac6/Tottenham-Hotspur-Everton-March-7-2022-Premier-League
14,2021-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2021-08-22,Sat,Matchweek 32,Away,W 4–0,Tottenham,Aston Villa,N,"On matchday squad, but did not play",/en/matches/811d471f/Aston-Villa-Tottenham-Hotspur-April-9-2022-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
16,2021-08-22,Sat,Matchweek 33,Home,L 0–1,Tottenham,Brighton,N,"On matchday squad, but did not play",/en/matches/0b266073/Tottenham-Hotspur-Brighton-and-Hove-Albion-April-16-2022-Premier-League,,,,,,,,,,,,,,,,,,,,,,,
17,2021-08-22,Sat,Matchweek 34,Away,D 0–0,Tottenham,Brentford,Y,LM,73,24,39,61.5,359,103,15,19,78.9,6,10,60.0,2,6,33.3,0,0.0,0.0,0,2,0,0,1,/en/matches/9c939b7f/Brentford-Tottenham-Hotspur-April-23-2022-Premier-League
18,2021-08-22,Sun,Matchweek 35,Home,W 3–1,Tottenham,Leicester City,Y,LM,90,25,31,80.6,404,90,13,14,92.9,10,12,83.3,2,2,100.0,0,0.1,0.1,1,2,1,1,2,/en/matches/26ff83e6/Tottenham-Hotspur-Leicester-City-May-1-2022-Premier-League
19,2021-08-22,Sat,Matchweek 36,Away,D 1–1,Tottenham,Liverpool,Y,LM,77,17,32,53.1,259,75,10,12,83.3,4,7,57.1,2,7,28.6,1,0.6,0.8,1,0,2,1,1,/en/matches/9a93e9b2/Liverpool-Tottenham-Hotspur-May-7-2022-Premier-League
20,2021-08-22,Thu,Matchweek 22,Home,W 3–0,Tottenham,Arsenal,Y,WB,90,19,23,82.6,288,58,10,10,100.0,7,11,63.6,1,1,100.0,0,0.7,0.6,2,0,1,0,1,/en/matches/607d0562/North-London-Derby-Tottenham-Hotspur-Arsenal-May-12-2022-Premier-League
21,2021-08-22,Sun,Matchweek 37,Home,W 1–0,Tottenham,Burnley,Y,WB,90,54,68,79.4,719,167,35,39,89.7,14,17,82.4,2,6,33.3,0,0.8,0.5,4,2,0,0,1,/en/matches/1d0f7282/Tottenham-Hotspur-Burnley-May-15-2022-Premier-League
22,2021-08-22,Sun,Matchweek 38,Away,W 5–0,Tottenham,Norwich City,Y,WB,90,28,34,82.4,435,59,17,19,89.5,8,10,80.0,3,4,75.0,0,0.1,0.1,2,1,3,1,3,/en/matches/771ecae9/Norwich-City-Tottenham-Hotspur-May-22-2022-Premier-League
