,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sun,PL2 — Div. 1,Matchweek 1,Away,W 3–0,Manchester City,Liverpool,Y,FW,38,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
1,Sat,Premier League,Matchweek 6,Away,L 0–1,Southampton,Wolves,N,"LM,AM",18,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,5,8,62.5,2,10,3,3,3,Match Report
2,Fri,Premier League,Matchweek 8,Away,L 0–1,Southampton,Aston Villa,N,RW,12,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0.0,0.0,0,0,1,2,50.0,0,3,0,1,0,Match Report
3,Sat,Premier League,Matchweek 9,Home,L 1–2,Southampton,Everton,N,CM,24,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,0,3,1,2,1,Match Report
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sun,Premier League,Matchweek 11,Home,D 1–1,Southampton,West Ham,N,LW,17,0,0,0,0,1,1,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,5,0,0,0,Match Report
6,Wed,Premier League,Matchweek 12,Away,W 1–0,Southampton,Bournemouth,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Sun,Premier League,Matchweek 13,Home,D 1–1,Southampton,Arsenal,N,AM,11,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,3,7,1,2,0,Match Report
8,Sat,Premier League,Matchweek 14,Away,L 0–1,Southampton,Crystal Palace,N,CM,17,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,6,10,60.0,0,12,0,1,0,Match Report
9,Sun,PL2 — Div. 2,Matchweek 10,Home,W 8–1,Southampton,Middlesbrough,Y,RM,33,0,1,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
10,Sun,Premier League,Matchweek 15,Home,L 1–4,Southampton,Newcastle Utd,N,RM,27,0,0,0,0,0,0,0,0,18,1,1,0,0.0,0.0,0.0,0,0,10,13,76.9,0,13,3,4,2,Match Report
11,Wed,EFL Cup,Third round,Home,D 1 (6)–1 (5),Southampton,Sheffield Weds,Y,AM,70,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
12,Sat,Premier League,Matchweek 16,Away,L 1–3,Southampton,Liverpool,N,LW,33,0,0,0,0,1,1,0,0,15,1,0,0,0.2,0.2,0.0,2,0,6,8,75.0,1,13,0,0,0,Match Report
13,Tue,EFL Cup,Fourth round,Home,W 2–1,Southampton,Lincoln City,N,,28,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
14,Mon,Premier League,Matchweek 17,Home,L 1–3,Southampton,Brighton,Y,LW,83,0,0,0,0,3,0,0,0,34,1,1,2,0.3,0.3,0.1,7,0,8,14,57.1,0,18,2,12,4,Match Report
15,Sat,Premier League,Matchweek 18,Away,L 1–2,Southampton,Fulham,Y,"AM,LW",76,0,0,0,0,1,1,0,0,35,4,2,0,0.1,0.1,0.0,2,0,15,20,75.0,1,16,4,1,0,Match Report
16,Wed,Premier League,Matchweek 19,Home,L 0–1,Southampton,Nott'ham Forest,N,WB,27,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,1,0,2,5,40.0,0,7,1,0,0,Match Report
17,Sat,FA Cup,Third round proper,Away,W 2–1,Southampton,Crystal Palace,Y,AM,79,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
18,Wed,EFL Cup,Quarter-finals,Home,W 2–0,Southampton,Manchester City,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sat,Premier League,Matchweek 20,Away,W 2–1,Southampton,Everton,Y,"LW,LM",60,0,0,0,0,1,0,0,0,26,3,0,0,0.1,0.1,0.1,3,0,10,14,71.4,2,15,1,2,0,Match Report
20,Sat,Premier League,Matchweek 21,Home,L 0–1,Southampton,Aston Villa,Y,RW,61,0,0,0,0,0,0,0,0,31,3,0,2,0.0,0.0,0.0,0,0,11,17,64.7,0,24,3,4,0,Match Report
21,Tue,EFL Cup,Semi-finals,Home,L 0–1,Southampton,Newcastle Utd,N,,34,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
22,Sat,FA Cup,Fourth round proper,Home,W 2–1,Southampton,Blackpool,Y,AM,86,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,Match Report
23,Tue,EFL Cup,Semi-finals,Away,L 1–2,Southampton,Newcastle Utd,N,,55,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,Match Report
24,Sat,Premier League,Matchweek 22,Away,L 0–3,Southampton,Brentford,Y,"RW,RM",64,0,0,0,0,1,0,0,0,33,2,1,0,0.1,0.1,0.0,1,0,15,23,65.2,1,23,3,2,0,Match Report
25,Sat,Premier League,Matchweek 23,Home,L 1–2,Southampton,Wolves,N,RB,11,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,1,1,0,1,0,Match Report
26,Fri,PL2 — Div. 2,Matchweek 17,Home,L 1–2,Southampton,Leeds United,Y,LM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
27,Wed,FA Cup,Fifth round proper,Home,L 1–2,Southampton,Grimsby Town,N,,32,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
28,Fri,PL2 — Div. 2,Matchweek 18,Home,L 0–2,Southampton,Nottingham Forest,Y,LM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
29,Sat,Premier League,Matchweek 30,Home,L 1–4,Southampton,Manchester City,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Sat,Premier League,Matchweek 31,Home,L 0–2,Southampton,Crystal Palace,N,RW,11,0,0,0,0,0,0,0,0,8,1,0,1,0.0,0.0,0.0,0,0,4,5,80.0,1,4,1,0,0,Match Report
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Mon,Premier League,Matchweek 35,Away,L 3–4,Southampton,Nott'ham Forest,N,LW,15,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.1,2,0,5,8,62.5,1,9,3,2,2,Match Report
33,,,,,6-3-19,,,12/28,,"1,202",0,1,0,0,9,3,1,0,278,17,10,7,0.9,0.9,0.4,20,0,111,164,67.7,13,183,26,37,12,
