,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2021-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2021-08-14,Sun,Matchweek 5,Away,W 2–1,Manchester Utd,West Ham,Y,DM,90,71,2,9,47,15,3,71,2,1,50.0,1,50.0,53,238,163,4,1,0,3,1,59,4,/en/matches/2daea068/West-Ham-United-Manchester-United-September-19-2021-Premier-League
2,2021-08-14,Sat,Matchweek 6,Home,L 0–1,Manchester Utd,Aston Villa,Y,DM,81,30,1,10,12,9,1,30,1,1,100.0,0,0.0,18,69,24,1,2,0,0,0,20,1,/en/matches/7c21232e/Manchester-United-Aston-Villa-September-25-2021-Premier-League
3,2021-08-14,Sat,Matchweek 7,Home,D 1–1,Manchester Utd,Everton,Y,DM,90,77,2,12,41,24,3,77,0,0,,0,,49,311,174,1,1,0,0,1,63,4,/en/matches/2129c7e9/Manchester-United-Everton-October-2-2021-Premier-League
4,2021-08-14,Sat,Matchweek 8,Away,L 2–4,Manchester Utd,Leicester City,N,DM,11,11,0,1,7,3,0,11,0,0,,0,,7,25,2,0,0,0,2,0,8,1,/en/matches/45502ded/Leicester-City-Manchester-United-October-16-2021-Premier-League
5,2021-08-14,Sun,Matchweek 9,Home,L 0–5,Manchester Utd,Liverpool,Y,"DM,CM",90,47,4,16,19,12,2,47,1,1,100.0,0,0.0,19,91,25,0,0,0,1,1,31,0,/en/matches/b886bec4/North-West-Derby-Manchester-United-Liverpool-October-24-2021-Premier-League
6,2021-08-14,Sat,Matchweek 10,Away,W 3–0,Manchester Utd,Tottenham,Y,CM,90,57,3,15,32,11,0,57,3,3,100.0,0,0.0,31,152,69,1,2,0,3,1,31,0,/en/matches/5a2b8c26/Tottenham-Hotspur-Manchester-United-October-30-2021-Premier-League
7,2021-08-14,Sat,Matchweek 11,Home,L 0–2,Manchester Utd,Manchester City,Y,"DM,CM",90,42,4,14,24,5,1,42,1,1,100.0,0,0.0,22,150,55,0,2,0,2,1,26,0,/en/matches/5fa5be28/Manchester-Derby-Manchester-United-Manchester-City-November-6-2021-Premier-League
8,2021-08-14,Sat,Matchweek 12,Away,L 1–4,Manchester Utd,Watford,Y,DM,45,33,2,13,20,2,0,33,2,2,100.0,0,0.0,15,68,19,0,0,0,0,2,20,1,/en/matches/31a03035/Watford-Manchester-United-November-20-2021-Premier-League
9,2021-08-14,Sun,Matchweek 13,Away,D 1–1,Manchester Utd,Chelsea,Y,RM,90,44,7,17,24,3,0,44,1,1,100.0,0,0.0,12,59,1,0,0,0,2,1,17,1,/en/matches/08b3c5d8/Chelsea-Manchester-United-November-28-2021-Premier-League
