,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Sat,Premier League,Matchweek 2,Home,D 2–2,Southampton,Leeds United,N,AM,21,0,1,0,0,1,1,0,0,8,1,0,0,0.0,0.0,0.3,3,2,2,2,100.0,1,5,0,3,2,Match Report
1,Sat,Premier League,Matchweek 3,Away,W 2–1,Southampton,Leicester City,Y,FW,58,0,0,0,0,1,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,5,11,45.5,0,12,1,7,4,Match Report
2,Tue,EFL Cup,Second round,Away,W 3–0,Southampton,Cambridge Utd,N,,25,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
3,Sat,Premier League,Matchweek 4,Home,L 0–1,Southampton,Manchester Utd,N,RW,14,0,0,0,0,2,0,0,0,4,0,0,0,0.2,0.2,0.0,0,0,1,2,50.0,1,5,0,0,0,Match Report
4,Tue,Premier League,Matchweek 5,Home,W 2–1,Southampton,Chelsea,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sat,Premier League,Matchweek 6,Away,L 0–1,Southampton,Wolves,N,RM,8,0,0,0,0,2,0,0,0,6,0,0,0,0.1,0.1,0.0,1,0,2,2,100.0,0,3,0,0,0,Match Report
6,Fri,Premier League,Matchweek 8,Away,L 0–1,Southampton,Aston Villa,N,FW,20,0,0,0,0,1,1,0,0,6,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,1,0,0,Match Report
7,Sat,Premier League,Matchweek 9,Home,L 1–2,Southampton,Everton,Y,FW,59,0,0,0,0,3,0,0,0,16,2,0,2,0.4,0.4,0.1,2,0,6,7,85.7,2,6,0,0,0,Match Report
8,Sat,Premier League,Matchweek 10,Away,L 0–4,Southampton,Manchester City,N,FW,12,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,2,0,1,0,Match Report
9,Sun,Premier League,Matchweek 11,Home,D 1–1,Southampton,West Ham,N,"FW,RW",17,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,0,2,0,0,0,Match Report
