,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2020-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-13,Sun,Matchweek 4,Away,W 6–1,Tottenham,Manchester Utd,Y,RB,90,0,0,0,0,2,0,1,2,3,0,0,0,2,0,2,0.0,/en/matches/cded7e69/Manchester-United-Tottenham-Hotspur-October-4-2020-Premier-League
2,2020-09-13,Sun,Matchweek 5,Home,D 3–3,Tottenham,West Ham,Y,RB,90,0,0,0,4,0,0,4,2,3,0,0,0,5,2,0,100.0,/en/matches/17f0eec9/Tottenham-Hotspur-West-Ham-United-October-18-2020-Premier-League
3,2020-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2020-09-13,Sun,Matchweek 8,Away,W 1–0,Tottenham,West Brom,N,"On matchday squad, but did not play",/en/matches/90c0e34c/West-Bromwich-Albion-Tottenham-Hotspur-November-8-2020-Premier-League,,,,,,,,,,,,,,,,,
5,2020-09-13,Sat,Matchweek 9,Home,W 2–0,Tottenham,Manchester City,Y,RB,90,0,0,0,2,1,0,1,0,1,0,0,0,3,3,2,60.0,/en/matches/8a038069/Tottenham-Hotspur-Manchester-City-November-21-2020-Premier-League
6,2020-09-13,Sun,Matchweek 10,Away,D 0–0,Tottenham,Chelsea,Y,RB,90,0,0,0,1,2,0,0,2,1,0,0,0,5,2,0,100.0,/en/matches/58306243/Chelsea-Tottenham-Hotspur-November-29-2020-Premier-League
7,2020-09-13,Sun,Matchweek 11,Home,W 2–0,Tottenham,Arsenal,Y,RB,90,0,0,0,1,0,0,0,1,2,0,0,0,11,3,3,50.0,/en/matches/35abfa2f/North-London-Derby-Tottenham-Hotspur-Arsenal-December-6-2020-Premier-League
8,2020-09-13,Sun,Matchweek 12,Away,D 1–1,Tottenham,Crystal Palace,Y,RB,90,0,0,0,2,0,0,6,0,1,0,0,0,5,0,2,0.0,/en/matches/9b0e267e/Crystal-Palace-Tottenham-Hotspur-December-13-2020-Premier-League
9,2020-09-13,Wed,Matchweek 13,Away,L 1–2,Tottenham,Liverpool,Y,RB,90,0,0,0,2,2,0,2,2,5,0,0,0,7,2,0,100.0,/en/matches/966f86fe/Liverpool-Tottenham-Hotspur-December-16-2020-Premier-League
10,2020-09-13,Sun,Matchweek 14,Home,L 0–2,Tottenham,Leicester City,Y,RB,63,0,0,0,1,0,0,6,0,0,0,1,0,7,1,2,33.3,/en/matches/56ffe356/Tottenham-Hotspur-Leicester-City-December-20-2020-Premier-League
11,2020-09-13,Sun,Matchweek 15,Away,D 1–1,Tottenham,Wolves,N,"On matchday squad, but did not play",/en/matches/f50faef3/Wolverhampton-Wanderers-Tottenham-Hotspur-December-27-2020-Premier-League,,,,,,,,,,,,,,,,,
12,2020-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2020-09-13,Wed,Matchweek 16,Home,D 1–1,Tottenham,Fulham,Y,RB,90,0,0,0,2,0,0,4,0,2,0,0,0,5,2,2,50.0,/en/matches/fcad17a1/Tottenham-Hotspur-Fulham-January-13-2021-Premier-League
14,2020-09-13,Sun,Matchweek 19,Away,W 3–1,Tottenham,Sheffield Utd,Y,RM,90,0,0,0,0,1,0,0,1,0,0,0,0,3,3,6,33.3,/en/matches/c52b1c4f/Sheffield-United-Tottenham-Hotspur-January-17-2021-Premier-League
15,2020-09-13,Thu,Matchweek 20,Home,L 1–3,Tottenham,Liverpool,Y,RM,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0,/en/matches/17bac3d1/Tottenham-Hotspur-Liverpool-January-28-2021-Premier-League
16,2020-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2020-09-13,Thu,Matchweek 22,Home,L 0–1,Tottenham,Chelsea,Y,RB,90,0,0,0,3,1,0,2,1,2,0,0,0,4,1,2,33.3,/en/matches/7d98a679/Tottenham-Hotspur-Chelsea-February-4-2021-Premier-League
18,2020-09-13,Sun,Matchweek 23,Home,W 2–0,Tottenham,West Brom,Y,RB,67,0,0,0,1,1,0,3,0,1,0,0,0,3,2,2,50.0,/en/matches/4a652b81/Tottenham-Hotspur-West-Bromwich-Albion-February-7-2021-Premier-League
19,2020-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2020-09-13,Sun,Matchweek 26,Home,W 4–0,Tottenham,Burnley,Y,RB,80,0,0,0,0,1,0,2,1,2,0,0,0,5,2,1,66.7,/en/matches/d28c364e/Tottenham-Hotspur-Burnley-February-28-2021-Premier-League
21,2020-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2020-09-13,Sun,Matchweek 28,Away,L 1–2,Tottenham,Arsenal,N,"On matchday squad, but did not play",/en/matches/127b8258/North-London-Derby-Arsenal-Tottenham-Hotspur-March-14-2021-Premier-League,,,,,,,,,,,,,,,,,
23,2020-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,
