,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Thu,UEFA Nations League,League B,Away,D 1–1,ie Rep. of Ireland,bg Bulgaria,N,,14,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
1,Sun,UEFA Nations League,League B,Home,L 0–1,ie Rep. of Ireland,fi Finland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sat,Premier League,Matchweek 1,Away,L 0–1,Southampton,Crystal Palace,N,FW,6,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,1,0,Match Report
3,Wed,EFL Cup,Second round,Home,L 0–2,Southampton,Brentford,N,,7,0,0,0,0,1,1,0,0,,,0,,,,,,,,,,,,,,,Match Report
4,Sun,Premier League,Matchweek 2,Home,L 2–5,Southampton,Tottenham,N,FW,11,0,0,0,0,1,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,2,5,40.0,0,3,0,0,0,Match Report
5,Sat,Premier League,Matchweek 3,Away,W 1–0,Southampton,Burnley,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sun,Premier League,Matchweek 4,Home,W 2–0,Southampton,West Brom,N,FW,7,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,0,5,0.0,0,4,1,0,0,Match Report
7,Thu,UEFA Euro Qualifying,Semi-finals,Away,D 0 (2)–0 (4),ie Rep. of Ireland,sk Slovakia,N,,9,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
8,Sun,UEFA Nations League,League B,Home,D 0–0,ie Rep. of Ireland,wls Wales,Y,FW,73,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
9,Wed,UEFA Nations League,League B,Away,L 0–1,ie Rep. of Ireland,fi Finland,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sat,Premier League,Matchweek 5,Away,D 3–3,Southampton,Chelsea,N,FW,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,Match Report
11,Sun,Premier League,Matchweek 6,Home,W 2–0,Southampton,Everton,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sun,Premier League,Matchweek 7,Away,W 4–3,Southampton,Aston Villa,N,FW,6,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,3,0,0,0,Match Report
13,Fri,Premier League,Matchweek 8,Home,W 2–0,Southampton,Newcastle Utd,N,FW,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,1,2,50.0,0,0,0,0,0,Match Report
14,Mon,Premier League,Matchweek 9,Away,D 1–1,Southampton,Wolves,N,FW,12,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,1,0,1,0,Match Report
15,Sun,Premier League,Matchweek 10,Home,L 2–3,Southampton,Manchester Utd,N,FW,19,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,4,0,0,0,Match Report
16,Mon,Premier League,Matchweek 11,Away,W 2–1,Southampton,Brighton,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Sat,Premier League,Matchweek 14,Home,L 0–1,Southampton,Manchester City,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sat,Premier League,Matchweek 15,Away,D 0–0,Southampton,Fulham,Y,FW,89,0,0,0,0,1,1,0,0,24,0,1,0,0.0,0.0,0.0,2,0,12,18,66.7,2,13,0,1,1,Match Report
20,Tue,Premier League,Matchweek 16,Home,D 0–0,Southampton,West Ham,N,FW,33,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,6,0,1,1,Match Report
21,Mon,Premier League,Matchweek 17,Home,W 1–0,Southampton,Liverpool,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Sat,Premier League,Matchweek 19,Away,L 0–2,Southampton,Leicester City,N,FW,19,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,3,4,75.0,1,3,0,1,0,Match Report
23,Tue,FA Cup,Third round proper,Home,W 2–0,Southampton,Shrewsbury,Y,FW,78,0,0,0,0,2,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
24,Sat,FA Cup,Fourth round proper,Home,W 1–0,Southampton,Arsenal,N,,6,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
25,Tue,Premier League,Matchweek 20,Home,L 1–3,Southampton,Arsenal,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Sat,Premier League,Matchweek 21,Home,L 0–1,Southampton,Aston Villa,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Sat,Championship,Matchweek 28,Home,W 3–2,Bournemouth,Birmingham City,Y,FW,90,0,0,0,0,2,0,0,0,20,1,0,2,0.2,0.2,0.0,0,0,8,14,57.1,2,10,0,0,0,Match Report
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Sat,Championship,Matchweek 29,Away,D 0–0,Bournemouth,Nott'ham Forest,Y,FW,80,0,0,0,0,1,0,0,0,31,0,0,0,0.6,0.6,0.0,0,0,15,24,62.5,2,17,2,0,0,Match Report
30,Wed,Championship,Matchweek 30,Home,W 1–0,Bournemouth,Rotherham Utd,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Sat,Championship,Matchweek 31,Away,L 1–2,Bournemouth,QPR,Y,FW,90,1,0,0,0,2,2,0,0,30,0,1,0,1.3,1.3,0.0,0,0,10,19,52.6,0,18,1,0,0,Match Report
32,Wed,Championship,Matchweek 32,Home,L 1–2,Bournemouth,Cardiff City,N,FW,45,1,0,0,0,1,1,0,0,11,0,0,0,0.8,0.8,0.0,1,0,3,7,42.9,0,7,2,0,0,Match Report
