,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,Thu,UEFA Nations League,League C,Home,L 0–1,nir Northern Ireland,gr Greece,N,,12,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
1,Sun,UEFA Nations League,League C,Away,D 0–0,nir Northern Ireland,cy Cyprus,Y,CM,62,0,0,0,0,1,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
2,Thu,UEFA Nations League,League C,Away,L 2–3,nir Northern Ireland,xk Kosovo,N,,23,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,Match Report
3,Sun,UEFA Nations League,League C,Home,D 2–2,nir Northern Ireland,cy Cyprus,Y,CM,58,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,Match Report
4,Sun,PL2 — Div. 1,Matchweek 1,Away,W 3–0,Manchester City,Liverpool,Y*,CM,77,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
5,Sun,PL2 — Div. 1,Matchweek 2,Home,W 3–1,Manchester City,Leicester City,Y*,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
6,Sun,PL2 — Div. 1,Matchweek 3,Home,D 0–0,Manchester City,Tottenham Hotspur,Y*,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
7,Fri,PL2 — Div. 1,Matchweek 4,Away,D 2–2,Manchester City,Chelsea,Y*,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
8,Sat,PL2 — Div. 1,Matchweek 5,Home,W 4–1,Manchester City,West Ham United,Y*,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
9,Sat,PL2 — Div. 1,Matchweek 7,Home,W 1–0,Manchester City,Fulham,Y*,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
10,Sat,UEFA Nations League,League C,Home,W 2–1,nir Northern Ireland,xk Kosovo,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tue,UEFA Nations League,League C,Away,L 1–3,nir Northern Ireland,gr Greece,N,"On matchday squad, but did not play",Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sun,PL2 — Div. 1,Matchweek 8,Away,W 3–1,Manchester City,Wolverhampton Wanderers,Y*,DM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
13,Sat,PL2 — Div. 1,Matchweek 9,Home,L 1–3,Manchester City,Blackburn Rovers,Y*,CM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
14,Sat,PL2 — Div. 1,Matchweek 11,Home,D 3–3,Manchester City,Crystal Palace,Y*,CM,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
15,Sat,PL2 — Div. 1,Matchweek 12,Away,L 3–6,Manchester City,Everton,Y*,CM,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
16,Sat,PL2 — Div. 1,Matchweek 13,Away,W 6–1,Manchester City,Manchester Utd,Y*,CM,90,0,0,0,0,,,1,0,,,,,,,,,,,,,,,,,,Match Report
17,Sat,PL2 — Div. 1,Matchweek 14,Home,W 6–0,Manchester City,Arsenal,Y*,CM,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
18,Sat,PL2 — Div. 1,Matchweek 15,Home,W 2–1,Manchester City,Brighton,Y*,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,Match Report
