,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form,Opponent form
0,0,0,0,0,0,0,0,2020-10-25,Sun,Premier League,Matchweek 6,Home,L 0–1,Arsenal,Leicester City,N,CB,42,0,0,0,0,0,0,0,0,53.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,44.0,50.0,88.0,7.0,43.0,0.0,0.0,0.0,/en/matches/bcd3a9b4/Arsenal-Leicester-City-October-25-2020-Premier-League,0.0,0.5,0.5714285714285714
1,1,1,1,1,1,1,1,2020-10-29,Thu,Europa Lg,Group stage,Home,W 3–0,eng Arsenal,ie Dundalk,Y,CB,61,0,0,0,0,0,0,0,0,42.0,2.0,1,0.0,0.0,0.0,0.0,1.0,0.0,34.0,38.0,89.5,8.0,28.0,0.0,0.0,0.0,/en/matches/6578dff1/Arsenal-Dundalk-October-29-2020-Europa-League,1.0,0.5,0.5
2,2,2,2,2,2,2,2,2020-11-01,Sun,Premier League,Matchweek 7,Away,W 1–0,Arsenal,Manchester Utd,N,CB,4,0,0,0,0,0,0,0,0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/75dd1359/Manchester-United-Arsenal-November-1-2020-Premier-League,1.0,0.5,0.7857142857142857
3,3,3,3,3,3,3,3,2020-11-05,Thu,Europa Lg,Group stage,Home,W 4–1,eng Arsenal,no Molde,Y,CB,90,0,0,0,0,2,0,0,0,79.0,1.0,0,2.0,0.1,0.1,0.0,1.0,0.0,59.0,70.0,84.3,5.0,54.0,2.0,0.0,0.0,/en/matches/69b23a15/Arsenal-Molde-November-5-2020-Europa-League,1.0,0.6666666666666666,0.5
4,4,4,4,4,4,4,4,2020-11-26,Thu,Europa Lg,Group stage,Away,W 3–0,eng Arsenal,no Molde,Y,CB,90,0,0,0,0,0,0,0,0,66.0,3.0,4,3.0,0.0,0.0,0.0,1.0,0.0,45.0,52.0,86.5,3.0,26.0,0.0,1.0,1.0,/en/matches/de32a3cc/Molde-Arsenal-November-26-2020-Europa-League,1.0,1.0,0.5
5,5,5,5,5,5,5,5,2020-12-03,Thu,Europa Lg,Group stage,Home,W 4–1,eng Arsenal,at Rapid Wien,Y,CB,69,0,0,0,0,2,0,1,0,54.0,0.0,0,1.0,0.1,0.1,0.0,1.0,0.0,45.0,49.0,91.8,4.0,43.0,0.0,0.0,0.0,/en/matches/bca73bdc/Arsenal-Rapid-Wien-December-3-2020-Europa-League,1.0,1.0,0.5
6,6,6,6,6,6,6,6,2020-12-10,Thu,Europa Lg,Group stage,Away,W 4–2,eng Arsenal,ie Dundalk,Y*,CB,90,0,0,0,0,0,0,0,0,87.0,0.0,1,0.0,0.0,0.0,0.1,1.0,0.0,76.0,82.0,92.7,9.0,71.0,0.0,0.0,0.0,/en/matches/3a6e4eda/Dundalk-Arsenal-December-10-2020-Europa-League,1.0,1.0,0.5
7,7,7,7,7,7,7,7,2020-12-22,Tue,EFL Cup,Quarter-finals,Home,L 1–4,Arsenal,Manchester City,Y,CB,90,0,0,0,0,0,0,1,0,,,1,,,,,,,,,,,,,,,/en/matches/3453fb20/Arsenal-Manchester-City-December-22-2020-EFL-Cup,0.0,1.0,0.5
8,8,8,8,8,8,8,8,2020-12-26,Sat,Premier League,Matchweek 15,Home,W 3–1,Arsenal,Chelsea,N,CB,1,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,/en/matches/c5de8a0c/North-West-London-Derby-Arsenal-Chelsea-December-26-2020-Premier-League,1.0,0.6666666666666666,0.4404761904761903
9,9,9,9,9,9,9,9,2021-02-06,Sat,Bundesliga,Matchweek 20,Home,L 0–3,Schalke 04,RB Leipzig,Y,CB,90,0,0,0,0,1,0,0,0,55.0,1.0,2,2.0,0.1,0.1,0.0,0.0,0.0,26.0,41.0,63.4,0.0,23.0,0.0,0.0,0.0,/en/matches/97155cb7/Schalke-04-RB-Leipzig-February-6-2021-Bundesliga,0.0,0.6666666666666666,0.5
10,10,10,10,10,10,10,10,2021-02-13,Sat,Bundesliga,Matchweek 21,Away,D 0–0,Schalke 04,Union Berlin,Y,CB,90,0,0,0,0,0,0,0,0,80.0,1.0,3,1.0,0.0,0.0,0.0,1.0,0.0,56.0,67.0,83.6,1.0,32.0,0.0,1.0,1.0,/en/matches/82ffa7e7/Union-Berlin-Schalke-04-February-13-2021-Bundesliga,0.5,0.3333333333333333,0.5
11,11,11,11,11,11,11,11,2021-02-27,Sat,Bundesliga,Matchweek 23,Away,L 1–5,Schalke 04,Stuttgart,Y,CB,90,0,0,0,0,0,0,0,0,76.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,58.0,66.0,87.9,4.0,51.0,0.0,0.0,0.0,/en/matches/3c1ba3f2/Stuttgart-Schalke-04-February-27-2021-Bundesliga,0.0,0.5,0.5
12,12,12,12,12,12,12,12,2021-03-05,Fri,Bundesliga,Matchweek 24,Home,D 0–0,Schalke 04,Mainz 05,Y,CB,90,0,0,0,0,1,1,0,0,89.0,2.0,7,3.0,0.1,0.1,0.0,0.0,0.0,54.0,67.0,80.6,3.0,44.0,0.0,1.0,0.0,/en/matches/f7d71118/Schalke-04-Mainz-05-March-5-2021-Bundesliga,0.5,0.1666666666666666,0.5
13,13,13,13,13,13,13,13,2021-03-13,Sat,Bundesliga,Matchweek 25,Away,L 0–5,Schalke 04,Wolfsburg,Y,CB,90,0,0,0,0,1,0,0,0,72.0,1.0,2,1.0,0.1,0.1,0.0,0.0,0.0,46.0,55.0,83.6,0.0,39.0,0.0,1.0,0.0,/en/matches/8cf2990f/Wolfsburg-Schalke-04-March-13-2021-Bundesliga,0.0,0.3333333333333333,0.5
