,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2019-09-28,Sat,Matchweek 9,Home,D 0–0,Bournemouth,Norwich City,N,"On matchday squad, but did not play",/en/matches/d71c01eb/Bournemouth-Norwich-City-October-19-2019-Premier-League,,,,,,,,,,,,,,,,
1,2019-09-28,Sat,Matchweek 10,Away,D 0–0,Bournemouth,Watford,N,"On matchday squad, but did not play",/en/matches/1ef8e186/Watford-Bournemouth-October-26-2019-Premier-League,,,,,,,,,,,,,,,,
2,2019-09-28,Sat,Matchweek 11,Home,W 1–0,Bournemouth,Manchester Utd,N,"On matchday squad, but did not play",/en/matches/9e35d172/Bournemouth-Manchester-United-November-2-2019-Premier-League,,,,,,,,,,,,,,,,
3,2019-09-28,Sat,Matchweek 12,Away,L 1–2,Bournemouth,Newcastle Utd,N,CB,25,31,28,3,0,0,1,4,3,0,0,0,0,26,0,0,/en/matches/698f846d/Newcastle-United-Bournemouth-November-9-2019-Premier-League
4,2019-09-28,Sat,Matchweek 13,Home,L 1–2,Bournemouth,Wolves,Y*,CB,36,48,42,6,1,0,0,2,5,0,0,0,0,41,0,0,/en/matches/219643bc/Bournemouth-Wolverhampton-Wanderers-November-23-2019-Premier-League
5,2019-09-28,,,,,,,,,,,,,,,,,,,,,,,,,
6,2019-09-28,Tue,Matchweek 15,Away,L 0–1,Bournemouth,Crystal Palace,N,RB,27,17,17,0,0,0,0,2,0,0,0,0,0,10,0,0,/en/matches/fd541a1f/Crystal-Palace-Bournemouth-December-3-2019-Premier-League
7,2019-09-28,Sat,Matchweek 16,Home,L 0–3,Bournemouth,Liverpool,Y*,RB,90,39,32,7,0,0,0,0,7,0,0,0,0,29,0,2,/en/matches/b7f0ca17/Bournemouth-Liverpool-December-7-2019-Premier-League
8,2019-09-28,Sat,Matchweek 17,Away,W 1–0,Bournemouth,Chelsea,Y*,CB,90,35,35,0,0,0,1,0,0,0,0,0,0,24,0,0,/en/matches/b75094e0/Chelsea-Bournemouth-December-14-2019-Premier-League
9,2019-09-28,Sat,Matchweek 18,Home,L 0–1,Bournemouth,Burnley,Y*,CB,90,49,47,2,2,0,2,0,0,0,0,0,0,42,0,0,/en/matches/e8b74ca0/Bournemouth-Burnley-December-21-2019-Premier-League
10,2019-09-28,,,,,,,,,,,,,,,,,,,,,,,,,
11,2019-09-28,Wed,Matchweek 21,Away,L 0–4,Bournemouth,West Ham,Y*,"RB,CB",90,87,77,10,0,0,0,5,10,0,0,0,0,73,0,3,/en/matches/9ae01aab/West-Ham-United-Bournemouth-January-1-2020-Premier-League
12,2019-09-28,Sun,Matchweek 22,Home,L 0–3,Bournemouth,Watford,Y*,"CB,RB",90,81,73,8,5,0,1,2,3,0,0,0,0,58,0,1,/en/matches/76ce7bd8/Bournemouth-Watford-January-12-2020-Premier-League
13,2019-09-28,Sat,Matchweek 23,Away,L 0–1,Bournemouth,Norwich City,N,CB,57,28,28,0,0,0,0,0,0,0,0,0,0,21,0,0,/en/matches/2550abdc/Norwich-City-Bournemouth-January-18-2020-Premier-League
14,2019-09-28,Tue,Matchweek 24,Home,W 3–1,Bournemouth,Brighton,Y*,CB,90,26,23,2,2,0,1,0,0,0,0,0,0,19,1,0,/en/matches/ba03a070/Bournemouth-Brighton-and-Hove-Albion-January-21-2020-Premier-League
15,2019-09-28,Sat,Matchweek 25,Home,W 2–1,Bournemouth,Aston Villa,Y*,CB,90,22,21,1,1,0,1,1,0,0,0,0,0,11,0,1,/en/matches/db21a88a/Bournemouth-Aston-Villa-February-1-2020-Premier-League
16,2019-09-28,Sun,Matchweek 26,Away,L 1–2,Bournemouth,Sheffield Utd,Y*,CB,90,41,41,0,0,0,1,0,0,0,0,0,0,29,0,0,/en/matches/9dbc60d4/Sheffield-United-Bournemouth-February-9-2020-Premier-League
17,2019-09-28,Sat,Matchweek 27,Away,L 0–3,Bournemouth,Burnley,Y*,CB,90,46,45,1,1,0,0,0,0,0,0,0,0,30,0,0,/en/matches/bcdc3fb0/Burnley-Bournemouth-February-22-2020-Premier-League
18,2019-09-28,Sat,Matchweek 28,Home,D 2–2,Bournemouth,Chelsea,N,"On matchday squad, but did not play",/en/matches/57d79762/Bournemouth-Chelsea-February-29-2020-Premier-League,,,,,,,,,,,,,,,,
