,Unnamed: 0,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Match Report,Result_num,Form
0,0,2019-08-23,Fri,PL2 — Div. 2,Matchweek 3,Away,W 4–0,Manchester Utd,Newcastle Utd,Y,AM,90,2,1,0,0,,,1,0,,,,,,,,,,,,,,,,,,/en/matches/ce817276/Newcastle-United-U23-Manchester-United-U23-August-23-2019-Premier-League-2----Division-2,1.0,0.5
1,1,2019-09-14,Sat,Premier League,Matchweek 5,Home,W 1–0,Manchester Utd,Leicester City,N,LW,21,0,0,0,0,0.0,0.0,0,0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,9.0,55.6,0.0,8.0,1.0,2.0,1.0,/en/matches/6d0266a1/Manchester-United-Leicester-City-September-14-2019-Premier-League,1.0,0.5
2,2,2019-09-19,Thu,Europa Lg,Group stage,Home,W 1–0,eng Manchester Utd,kz Astana FK,Y,LW,67,0,0,0,0,0.0,0.0,0,0,44.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,33.0,75.8,3.0,35.0,2.0,3.0,1.0,/en/matches/e824741d/Manchester-United-Astana-FK-September-19-2019-Europa-League,1.0,0.5
3,3,2019-09-25,Wed,EFL Cup,Third round,Home,D 1 (5)–1 (3),Manchester Utd,Rochdale,Y,AM,59,0,0,0,0,1.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/242a13f3/Manchester-United-Rochdale-September-25-2019-EFL-Cup,0.5,1.0
4,4,2019-10-06,Sun,Premier League,Matchweek 8,Away,L 0–1,Manchester Utd,Newcastle Utd,N,LB,5,0,0,0,0,0.0,0.0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,/en/matches/e4a80056/Newcastle-United-Manchester-United-October-6-2019-Premier-League,0.0,0.8333333333333334
5,5,2019-10-25,Fri,PL2 — Div. 2,Matchweek 9,Home,W 3–1,Manchester Utd,Stoke City,Y,AM,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/00119711/Manchester-United-U23-Stoke-City-U23-October-25-2019-Premier-League-2----Division-2,1.0,0.5
6,6,2019-11-04,Mon,PL2 — Div. 2,Matchweek 10,Away,W 4–1,Manchester Utd,Middlesbrough,Y*,AM,90,2,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/e5837fe3/Middlesbrough-U23-Manchester-United-U23-November-4-2019-Premier-League-2----Division-2,1.0,0.5
7,7,2019-11-28,Thu,Europa Lg,Group stage,Away,L 1–2,eng Manchester Utd,kz Astana FK,Y,RW,64,0,0,0,0,2.0,0.0,0,0,43.0,0.0,0.0,0.0,0.7,0.7,0.0,1.0,0.0,27.0,32.0,84.4,0.0,28.0,1.0,2.0,0.0,/en/matches/f65db418/Astana-FK-Manchester-United-November-28-2019-Europa-League,0.0,0.6666666666666666
8,8,2019-12-09,Mon,PL2 — Div. 2,Matchweek 12,Home,W 3–1,Manchester Utd,West Brom,Y,AM,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/b9f710fe/Manchester-United-U23-West-Bromwich-Albion-U23-December-9-2019-Premier-League-2----Division-2,1.0,0.6666666666666666
9,9,2019-12-12,Thu,Europa Lg,Group stage,Home,W 4–0,eng Manchester Utd,nl AZ Alkmaar,N,RW,32,0,0,0,0,0.0,0.0,0,0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,6.0,83.3,0.0,8.0,1.0,2.0,1.0,/en/matches/8ce4cf43/Manchester-United-AZ-Alkmaar-December-12-2019-Europa-League,1.0,0.6666666666666666
10,10,2019-12-16,Mon,PL2 — Div. 2,Matchweek 13,Away,W 4–1,Manchester Utd,Reading,Y,LM,90,1,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/32c81e6e/Reading-U23-Manchester-United-U23-December-16-2019-Premier-League-2----Division-2,1.0,0.6666666666666666
11,11,2020-01-04,Sat,FA Cup,Third round,Away,D 0–0,Manchester Utd,Wolves,Y,AM,81,0,0,0,0,0.0,0.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/3270e5c0/Wolverhampton-Wanderers-Manchester-United-January-4-2020-FA-Cup,0.5,1.0
12,12,2020-01-26,Sun,FA Cup,Fourth round,Away,W 6–0,Manchester Utd,Tranmere Rovers,N,,45,0,0,0,0,2.0,1.0,0,0,,,0.0,,,,,,,,,,,,,,,/en/matches/08ec40e9/Tranmere-Rovers-Manchester-United-January-26-2020-FA-Cup,1.0,0.8333333333333334
13,13,2020-02-23,Sun,Premier League,Matchweek 27,Home,W 3–0,Manchester Utd,Watford,N,RW,11,0,0,0,0,1.0,0.0,0,0,7.0,0.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,3.0,4.0,75.0,0.0,6.0,1.0,0.0,0.0,/en/matches/835d0c36/Manchester-United-Watford-February-23-2020-Premier-League,1.0,0.8333333333333334
