,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
0,2020-09-14,Sat,Matchweek 3,Home,L 2–3,Brighton,Manchester Utd,Y,RM,90,43,35,8,1,0,0,2,7,0,0,0,0,36,0,1,/en/matches/21495573/Brighton-and-Hove-Albion-Manchester-United-September-26-2020-Premier-League
1,2020-09-14,Sat,Matchweek 4,Away,L 2–4,Brighton,Everton,Y,WB,45,19,16,3,0,0,0,2,3,0,0,0,0,17,0,1,/en/matches/3cbb397e/Everton-Brighton-and-Hove-Albion-October-3-2020-Premier-League
2,2020-09-14,Sun,Matchweek 5,Away,D 1–1,Brighton,Crystal Palace,Y,WB,90,68,50,18,1,0,0,5,17,0,0,0,0,57,0,2,/en/matches/e96818bc/Crystal-Palace-Brighton-and-Hove-Albion-October-18-2020-Premier-League
3,2020-09-14,Mon,Matchweek 6,Home,D 1–1,Brighton,West Brom,Y,"WB,RM",90,50,39,11,0,0,0,3,11,0,0,0,0,39,0,0,/en/matches/26452511/Brighton-and-Hove-Albion-West-Bromwich-Albion-October-26-2020-Premier-League
4,2020-09-14,Sun,Matchweek 7,Away,L 1–2,Brighton,Tottenham,Y,WB,78,40,37,3,0,0,0,0,3,0,0,0,0,33,0,0,/en/matches/1d01ff0c/Tottenham-Hotspur-Brighton-and-Hove-Albion-November-1-2020-Premier-League
5,2020-09-14,Fri,Matchweek 8,Home,D 0–0,Brighton,Burnley,Y,RB,90,50,47,3,0,0,0,7,3,0,0,0,0,39,0,1,/en/matches/c23d7844/Brighton-and-Hove-Albion-Burnley-November-6-2020-Premier-League
6,2020-09-14,Sat,Matchweek 9,Away,W 2–1,Brighton,Aston Villa,Y,"WB,CM",89,41,34,7,0,1,1,4,7,0,0,0,0,25,0,0,/en/matches/dea0df40/Aston-Villa-Brighton-and-Hove-Albion-November-21-2020-Premier-League
7,2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,
8,2020-09-14,Mon,Matchweek 11,Home,L 1–2,Brighton,Southampton,Y,"WB,RM",90,47,41,6,0,0,0,2,6,0,0,0,0,33,0,2,/en/matches/32356abc/Brighton-and-Hove-Albion-Southampton-December-7-2020-Premier-League
9,2020-09-14,,,,,,,,,,,,,,,,,,,,,,,,,
10,2020-09-14,Wed,Matchweek 13,Away,D 0–0,Brighton,Fulham,Y,WB,77,46,38,8,0,0,0,5,8,0,0,0,0,32,0,2,/en/matches/eb73d532/Fulham-Brighton-and-Hove-Albion-December-16-2020-Premier-League
