,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2020-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-09-26,Sat,Matchweek 6,Away,D 0–0,Chelsea,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,94,2,2,2,0.0,0.0,0.0,0,0,77,82,93.9,2,54,0,1,0,/en/matches/3aaf7c62/Manchester-United-Chelsea-October-24-2020-Premier-League
2,2020-09-26,Sat,Matchweek 7,Away,W 3–0,Chelsea,Burnley,Y*,CB,90,0,0,0,0,1,1,0,0,106,1,0,2,0.0,0.0,0.0,1,0,90,97,92.8,4,62,0,0,0,/en/matches/0f158c5c/Burnley-Chelsea-October-31-2020-Premier-League
3,2020-09-26,Sat,Matchweek 8,Home,W 4–1,Chelsea,Sheffield Utd,Y*,CB,90,1,0,0,0,1,1,0,0,124,1,0,1,0.3,0.3,0.0,0,0,104,118,88.1,2,92,0,0,0,/en/matches/089916ee/Chelsea-Sheffield-United-November-7-2020-Premier-League
4,2020-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2020-09-26,Sun,Matchweek 10,Home,D 0–0,Chelsea,Tottenham,Y*,CB,90,0,0,0,0,0,0,0,0,103,1,0,0,0.0,0.0,0.0,0,0,95,100,95.0,3,76,1,0,0,/en/matches/58306243/Chelsea-Tottenham-Hotspur-November-29-2020-Premier-League
6,2020-09-26,Sat,Matchweek 11,Home,W 3–1,Chelsea,Leeds United,Y*,CB,90,0,0,0,0,0,0,0,0,64,0,1,2,0.0,0.0,0.0,1,0,51,55,92.7,10,39,2,1,1,/en/matches/419abbc0/Chelsea-Leeds-United-December-5-2020-Premier-League
7,2020-09-26,Sat,Matchweek 12,Away,L 0–1,Chelsea,Everton,Y*,CB,90,0,0,0,0,0,0,1,0,112,0,1,0,0.0,0.0,0.0,1,0,95,102,93.1,9,72,0,0,0,/en/matches/4847e3c3/Everton-Chelsea-December-12-2020-Premier-League
8,2020-09-26,Tue,Matchweek 13,Away,L 1–2,Chelsea,Wolves,Y*,CB,90,0,0,0,0,0,0,0,0,71,2,2,2,0.0,0.0,0.0,1,0,52,61,85.2,3,35,0,0,0,/en/matches/20bd0665/Wolverhampton-Wanderers-Chelsea-December-15-2020-Premier-League
9,2020-09-26,Mon,Matchweek 14,Home,W 3–0,Chelsea,West Ham,Y,CB,90,1,0,0,0,2,1,0,0,93,1,3,3,0.1,0.1,0.0,0,0,71,77,92.2,2,63,0,0,0,/en/matches/9a718e42/Chelsea-West-Ham-United-December-21-2020-Premier-League
10,2020-09-26,Sat,Matchweek 15,Away,L 1–3,Chelsea,Arsenal,Y*,CB,90,0,0,0,0,2,0,1,0,65,2,1,1,0.3,0.3,0.0,0,0,47,53,88.7,2,42,0,0,0,/en/matches/c5de8a0c/North-West-London-Derby-Arsenal-Chelsea-December-26-2020-Premier-League
11,2020-09-26,Mon,Matchweek 16,Home,D 1–1,Chelsea,Aston Villa,N,"On matchday squad, but did not play",/en/matches/ac7d1071/Chelsea-Aston-Villa-December-28-2020-Premier-League,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2020-09-26,Sun,Matchweek 17,Home,L 1–3,Chelsea,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,89,0,3,0,0.0,0.0,0.0,0,0,85,88,96.6,0,73,0,0,0,/en/matches/85507602/Chelsea-Manchester-City-January-3-2021-Premier-League
