,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2021-08-14,Sat,Matchweek 3,Home,L 1–2,Norwich City,Leicester City,Y,GK,90,25,37,67.6,762,498,1,1,100.0,15,16,93.8,9,20,45.0,0,0.0,0.0,0,0,0,0,0,/en/matches/78c685cc/Norwich-City-Leicester-City-August-28-2021-Premier-League
1,2021-08-14,Sat,Matchweek 4,Away,L 0–1,Norwich City,Arsenal,Y,GK,90,32,51,62.7,1000,747,3,3,100.0,14,18,77.8,15,30,50.0,0,0.0,0.0,0,1,0,0,0,/en/matches/4ac58f71/Arsenal-Norwich-City-September-11-2021-Premier-League
2,2021-08-14,Sat,Matchweek 5,Home,L 1–3,Norwich City,Watford,Y,GK,90,28,33,84.8,595,393,5,5,100.0,20,20,100.0,3,8,37.5,0,0.0,0.0,0,0,0,0,0,/en/matches/835fa19c/Norwich-City-Watford-September-18-2021-Premier-League
3,2021-08-14,Sat,Matchweek 6,Away,L 0–2,Norwich City,Everton,Y,GK,90,26,32,81.3,652,322,1,1,100.0,18,18,100.0,7,13,53.8,0,0.0,0.0,0,0,0,0,0,/en/matches/d516ccbf/Everton-Norwich-City-September-25-2021-Premier-League
4,2021-08-14,Sat,Matchweek 7,Away,D 0–0,Norwich City,Burnley,Y,GK,90,32,50,64.0,1088,810,4,4,100.0,11,12,91.7,17,34,50.0,0,0.0,0.0,0,0,0,0,0,/en/matches/9231df9a/Burnley-Norwich-City-October-2-2021-Premier-League
5,2021-08-14,Sat,Matchweek 8,Home,D 0–0,Norwich City,Brighton,Y,GK,90,21,30,70.0,633,412,1,1,100.0,12,12,100.0,8,17,47.1,0,0.0,0.0,0,0,0,0,0,/en/matches/bc0a1eb5/Norwich-City-Brighton-and-Hove-Albion-October-16-2021-Premier-League
6,2021-08-14,Sat,Matchweek 9,Away,L 0–7,Norwich City,Chelsea,Y,GK,90,40,52,76.9,1230,872,5,5,100.0,19,20,95.0,16,27,59.3,0,0.0,0.0,0,0,0,0,0,/en/matches/a6ff9cf9/Chelsea-Norwich-City-October-23-2021-Premier-League
7,2021-08-14,Sun,Matchweek 10,Home,L 1–2,Norwich City,Leeds United,Y,GK,90,29,46,63.0,849,537,4,4,100.0,13,14,92.9,12,28,42.9,0,0.0,0.0,0,1,0,0,0,/en/matches/52daf8d4/Norwich-City-Leeds-United-October-31-2021-Premier-League
8,2021-08-14,Sat,Matchweek 11,Away,W 2–1,Norwich City,Brentford,Y,GK,90,14,34,41.2,508,442,1,1,100.0,6,6,100.0,7,27,25.9,0,0.0,0.0,0,0,0,0,0,/en/matches/0f029791/Brentford-Norwich-City-November-6-2021-Premier-League
9,2021-08-14,Sat,Matchweek 12,Home,W 2–1,Norwich City,Southampton,Y,GK,90,16,37,43.2,661,559,2,2,100.0,3,3,100.0,11,32,34.4,0,0.0,0.0,0,3,0,0,0,/en/matches/4bddaba4/Norwich-City-Southampton-November-20-2021-Premier-League
10,2021-08-14,Sat,Matchweek 13,Home,D 0–0,Norwich City,Wolves,Y,GK,90,22,26,84.6,588,393,2,2,100.0,14,14,100.0,6,10,60.0,0,0.0,0.0,0,0,0,0,0,/en/matches/ff3bd755/Norwich-City-Wolverhampton-Wanderers-November-27-2021-Premier-League
11,2021-08-14,Tue,Matchweek 14,Away,D 1–1,Norwich City,Newcastle Utd,Y,GK,90,19,21,90.5,569,378,4,4,100.0,7,7,100.0,8,10,80.0,0,0.0,0.0,0,1,0,0,0,/en/matches/ce4d873f/Newcastle-United-Norwich-City-November-30-2021-Premier-League
