,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2020-09-12,Sat,Premier League,Matchweek 1,Home,L 0–3,Fulham,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,74,1,0,2,0.0,0.0,0.0,0,0,64,67,95.5,3,42,0,0,0,/en/matches/bf52349b/Fulham-Arsenal-September-12-2020-Premier-League
1,2020-09-23,Wed,EFL Cup,Third round,Home,W 2–0,Fulham,Sheffield Weds,Y*,CB,90,0,0,0,0,0,0,0,0,,,0,,,,,,,,,,,,,,,/en/matches/6277bf5f/Fulham-Sheffield-Wednesday-September-23-2020-EFL-Cup
2,2020-09-28,Mon,Premier League,Matchweek 3,Home,L 0–3,Fulham,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,60,1,0,0,0.0,0.0,0.0,0,0,54,57,94.7,4,30,0,1,0,/en/matches/6b258be0/Fulham-Aston-Villa-September-28-2020-Premier-League
3,2020-10-04,Sun,Premier League,Matchweek 4,Away,L 0–1,Fulham,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,67,1,0,2,0.0,0.0,0.0,0,0,56,61,91.8,2,34,0,0,0,/en/matches/8f989671/Wolverhampton-Wanderers-Fulham-October-4-2020-Premier-League
4,2020-10-18,Sun,Premier League,Matchweek 5,Away,D 1–1,Fulham,Sheffield Utd,Y,CB,90,0,0,0,0,0,0,0,0,73,2,2,0,0.0,0.0,0.0,1,0,49,58,84.5,2,48,1,1,1,/en/matches/5529e7a0/Sheffield-United-Fulham-October-18-2020-Premier-League
5,2020-10-24,Sat,Premier League,Matchweek 6,Home,L 1–2,Fulham,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,78,0,2,0,0.0,0.0,0.0,0,0,66,74,89.2,11,64,0,0,0,/en/matches/8d896969/Fulham-Crystal-Palace-October-24-2020-Premier-League
6,2020-11-16,Mon,Friendlies (M),Friendlies (M),Home,W 6–2,us United States,pa Panama,Y*,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/44200087/United-States-Panama-November-16-2020-Friendlies-M
7,2021-01-09,Sat,FA Cup,Third round proper,Away,W 2–0,Fulham,QPR,Y*,CB,120,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/75c17e4f/Queens-Park-Rangers-Fulham-January-9-2021-FA-Cup
8,2021-01-24,Sun,FA Cup,Fourth round proper,Home,L 0–3,Fulham,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,,,2,,,,,,,,,,,,,,,/en/matches/05c9adfe/Fulham-Burnley-January-24-2021-FA-Cup
9,2021-03-28,Sun,Friendlies (M),Friendlies (M),Away,W 2–1,us United States,nir Northern Ireland,Y,CB,90,0,1,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/824c67e7/Northern-Ireland-United-States-March-28-2021-Friendlies-M
10,2021-05-18,Tue,Premier League,Matchweek 37,Away,D 1–1,Fulham,Manchester Utd,Y*,CB,90,0,0,0,0,0,0,0,0,62,0,1,2,0.0,0.0,0.0,0,0,44,53,83.0,2,42,0,0,0,/en/matches/d8018048/Manchester-United-Fulham-May-18-2021-Premier-League
11,2021-05-23,Sun,Premier League,Matchweek 38,Home,L 0–2,Fulham,Newcastle Utd,Y*,CB,90,0,0,0,0,0,0,0,0,111,7,1,2,0.0,0.0,0.0,2,0,91,98,92.9,7,78,6,0,0,/en/matches/f966eee0/Fulham-Newcastle-United-May-23-2021-Premier-League
12,2021-05-30,Sun,Friendlies (M),Friendlies (M),Away,L 1–2,us United States,ch Switzerland,N,,29,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/4821af86/Switzerland-United-States-May-30-2021-Friendlies-M
13,2021-06-09,Wed,Friendlies (M),Friendlies (M),Home,W 4–0,us United States,cr Costa Rica,Y,CB,90,0,0,0,0,,,0,0,,,,,,,,,,,,,,,,,,/en/matches/7e321a54/United-States-Costa-Rica-June-9-2021-Friendlies-M
