,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
0,2020-10-18,Mon,Matchweek 7,Home,W 2–0,Fulham,West Brom,Y,CB,90,38,8,19,16,3,2,38,1,1,100.0,0,0.0,19,82,50,1,0,0,2,0,18,0,/en/matches/f2b91282/Fulham-West-Bromwich-Albion-November-2-2020-Premier-League
1,2020-10-18,Sat,Matchweek 8,Away,L 0–1,Fulham,West Ham,Y,CB,90,54,11,33,20,1,1,54,0,0,,0,,34,107,42,0,0,0,0,0,41,0,/en/matches/f075fddc/West-Ham-United-Fulham-November-7-2020-Premier-League
2,2020-10-18,Sun,Matchweek 9,Home,L 2–3,Fulham,Everton,Y,CB,90,69,12,39,28,2,0,69,0,0,,0,,20,95,24,0,0,0,0,1,42,0,/en/matches/13524225/Fulham-Everton-November-22-2020-Premier-League
3,2020-10-18,Mon,Matchweek 10,Away,W 2–1,Fulham,Leicester City,Y,CB,90,35,12,25,10,0,0,35,0,0,,0,,7,22,14,0,0,0,0,0,9,0,/en/matches/ae493b10/Leicester-City-Fulham-November-30-2020-Premier-League
4,2020-10-18,Sat,Matchweek 11,Away,L 0–2,Fulham,Manchester City,Y,CB,90,45,18,27,17,1,1,45,0,0,,0,,25,122,22,0,0,0,0,0,24,0,/en/matches/887dfef6/Manchester-City-Fulham-December-5-2020-Premier-League
5,2020-10-18,Sun,Matchweek 12,Home,D 1–1,Fulham,Liverpool,Y,CB,90,34,10,25,6,3,3,34,0,0,,0,,7,11,2,0,0,0,0,0,7,0,/en/matches/5abb0bd1/Fulham-Liverpool-December-13-2020-Premier-League
6,2020-10-18,Wed,Matchweek 13,Home,D 0–0,Fulham,Brighton,Y,CB,90,63,11,36,25,2,2,63,1,1,100.0,0,0.0,31,78,34,0,0,0,1,0,33,0,/en/matches/eb73d532/Fulham-Brighton-and-Hove-Albion-December-16-2020-Premier-League
7,2020-10-18,Sat,Matchweek 14,Away,D 1–1,Fulham,Newcastle Utd,Y,CB,90,82,9,37,40,5,4,82,0,0,,0,,46,240,122,0,0,0,0,1,61,1,/en/matches/3ae84056/Newcastle-United-Fulham-December-19-2020-Premier-League
8,2020-10-18,Sat,Matchweek 15,Home,D 0–0,Fulham,Southampton,Y,CB,90,34,8,24,10,1,0,34,0,0,,0,,14,62,11,0,0,0,1,0,18,0,/en/matches/cf86c208/Fulham-Southampton-December-26-2020-Premier-League
9,2020-10-18,Wed,Matchweek 16,Away,D 1–1,Fulham,Tottenham,Y,CB,90,77,15,44,30,3,2,77,0,0,,0,,44,205,124,0,0,0,0,1,43,0,/en/matches/fcad17a1/Tottenham-Hotspur-Fulham-January-13-2021-Premier-League
10,2020-10-18,Sat,Matchweek 19,Home,L 0–1,Fulham,Chelsea,Y,CB,90,53,12,28,26,0,0,53,0,0,,0,,21,72,43,0,0,0,0,1,25,0,/en/matches/714c642d/Fulham-Chelsea-January-16-2021-Premier-League
11,2020-10-18,Wed,Matchweek 18,Home,L 1–2,Fulham,Manchester Utd,Y,CB,90,74,16,46,23,5,1,74,2,2,100.0,0,0.0,50,237,136,1,0,0,0,0,54,1,/en/matches/2a3855db/Fulham-Manchester-United-January-20-2021-Premier-League
12,2020-10-18,Wed,Matchweek 20,Away,D 0–0,Fulham,Brighton,Y,CB,90,64,8,34,29,1,0,64,0,0,,0,,34,146,76,0,0,0,2,0,40,0,/en/matches/ea5464bd/Brighton-and-Hove-Albion-Fulham-January-27-2021-Premier-League
13,2020-10-18,Sat,Matchweek 21,Away,D 2–2,Fulham,West Brom,Y,CB,90,85,4,53,30,2,1,85,1,1,100.0,0,0.0,29,163,97,1,0,0,1,0,50,0,/en/matches/d1517c30/West-Bromwich-Albion-Fulham-January-30-2021-Premier-League
14,2020-10-18,Wed,Matchweek 22,Home,L 0–2,Fulham,Leicester City,Y,CB,90,106,16,45,57,5,2,106,0,0,,0,,72,450,315,0,1,0,0,0,78,0,/en/matches/bd0673ed/Fulham-Leicester-City-February-3-2021-Premier-League
15,2020-10-18,Sat,Matchweek 23,Home,D 0–0,Fulham,West Ham,Y,CB,90,85,9,49,33,4,2,85,1,1,100.0,0,0.0,62,288,175,0,1,0,0,0,65,0,/en/matches/d18e21ab/Fulham-West-Ham-United-February-6-2021-Premier-League
16,2020-10-18,Sun,Matchweek 24,Away,W 2–0,Fulham,Everton,Y,CB,90,71,9,39,32,0,0,71,0,0,,0,,41,240,99,1,0,0,0,0,53,0,/en/matches/46f84386/Everton-Fulham-February-14-2021-Premier-League
