,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Match Report
0,2019-08-09,Sat,Matchweek 3,Home,W 3–1,Liverpool,Arsenal,Y,RB,90,67,92,72.8,1159,385,33,35,94.3,23,32,71.9,8,17,47.1,1,0.4,0.2,6,7,2,0,10,/en/matches/102b241e/Liverpool-Arsenal-August-24-2019-Premier-League
1,2019-08-09,Sat,Matchweek 4,Away,W 3–0,Liverpool,Burnley,Y,RB,90,42,63,66.7,786,299,12,14,85.7,25,34,73.5,4,13,30.8,0,0.1,0.1,3,1,3,0,7,/en/matches/af072d61/Burnley-Liverpool-August-31-2019-Premier-League
2,2019-08-09,Sat,Matchweek 5,Home,W 3–1,Liverpool,Newcastle Utd,Y,RB,90,90,111,81.1,1738,447,34,39,87.2,41,49,83.7,12,15,80.0,0,0.3,0.4,7,4,5,2,10,/en/matches/cde24fee/Liverpool-Newcastle-United-September-14-2019-Premier-League
3,2019-08-09,Sun,Matchweek 6,Away,W 2–1,Liverpool,Chelsea,Y,RB,90,37,58,63.8,603,398,23,28,82.1,9,16,56.3,4,11,36.4,0,0.1,0.2,2,2,2,1,3,/en/matches/02e3ae79/Chelsea-Liverpool-September-22-2019-Premier-League
4,2019-08-09,Sat,Matchweek 7,Away,W 1–0,Liverpool,Sheffield Utd,Y,RB,90,103,128,80.5,1678,542,43,44,97.7,49,55,89.1,5,19,26.3,0,0.0,0.1,0,5,3,0,8,/en/matches/1224c8ae/Sheffield-United-Liverpool-September-28-2019-Premier-League
5,2019-08-09,Sat,Matchweek 8,Home,W 2–1,Liverpool,Leicester City,Y,RB,90,48,94,51.1,921,458,24,26,92.3,9,24,37.5,11,30,36.7,0,1.1,0.8,5,4,4,2,7,/en/matches/aaed1c4e/Liverpool-Leicester-City-October-5-2019-Premier-League
6,2019-08-09,Sun,Matchweek 9,Away,D 1–1,Liverpool,Manchester Utd,Y,RB,90,67,98,68.4,1366,469,25,31,80.6,35,44,79.5,7,18,38.9,0,0.1,0.2,2,8,3,1,12,/en/matches/95c3f0c8/North-West-Derby-Manchester-United-Liverpool-October-20-2019-Premier-League
7,2019-08-09,Sun,Matchweek 10,Home,W 2–1,Liverpool,Tottenham,Y,"RB,RM",90,87,115,75.7,1844,786,40,41,97.6,28,43,65.1,18,25,72.0,0,0.8,0.5,7,7,6,2,10,/en/matches/16f28685/Liverpool-Tottenham-Hotspur-October-27-2019-Premier-League
8,2019-08-09,Sat,Matchweek 11,Away,W 2–1,Liverpool,Aston Villa,Y,RB,90,69,99,69.7,1313,495,33,36,91.7,28,43,65.1,7,15,46.7,1,0.4,0.6,3,5,3,0,15,/en/matches/2206646c/Aston-Villa-Liverpool-November-2-2019-Premier-League
9,2019-08-09,Sun,Matchweek 12,Home,W 3–1,Liverpool,Manchester City,Y,"RB,RW",90,49,73,67.1,1075,516,19,24,79.2,21,25,84.0,8,19,42.1,0,0.1,0.1,2,2,2,2,1,/en/matches/47880eb7/Liverpool-Manchester-City-November-10-2019-Premier-League
10,2019-08-09,Sat,Matchweek 13,Away,W 2–1,Liverpool,Crystal Palace,Y,"RB,RW",90,44,71,62.0,959,383,14,18,77.8,18,28,64.3,10,19,52.6,0,0.4,0.7,4,3,1,1,1,/en/matches/0b1da656/Crystal-Palace-Liverpool-November-23-2019-Premier-League
11,2019-08-09,Sat,Matchweek 14,Home,W 2–1,Liverpool,Brighton,Y,RB,90,42,66,63.6,803,292,15,15,100.0,23,30,76.7,4,18,22.2,2,0.2,0.3,2,4,1,0,4,/en/matches/2c240ae6/Liverpool-Brighton-and-Hove-Albion-November-30-2019-Premier-League
12,2019-08-09,Wed,Matchweek 15,Home,W 5–2,Liverpool,Everton,Y,RB,82,53,78,67.9,957,388,29,32,90.6,16,21,76.2,8,21,38.1,1,0.1,0.0,1,5,1,0,3,/en/matches/de0ec650/Merseyside-Derby-Liverpool-Everton-December-4-2019-Premier-League
