,Date,Day,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
0,2020-09-12,Sat,Matchweek 3,Home,L 1–2,Crystal Palace,Everton,Y*,"FW,LM",90,1,0,0,0,1,1,1,100.0,0,3,0,3,1,2,0,0,/en/matches/7387a72e/Crystal-Palace-Everton-September-26-2020-Premier-League
1,2020-09-12,Sat,Matchweek 4,Away,L 0–4,Crystal Palace,Chelsea,Y*,FW,90,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,/en/matches/d97aa1b5/Chelsea-Crystal-Palace-October-3-2020-Premier-League
2,2020-09-12,Sun,Matchweek 5,Home,D 1–1,Crystal Palace,Brighton,Y,"FW,LM",90,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,1,0,/en/matches/e96818bc/Crystal-Palace-Brighton-and-Hove-Albion-October-18-2020-Premier-League
3,2020-09-12,Sat,Matchweek 6,Away,W 2–1,Crystal Palace,Fulham,Y,FW,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,/en/matches/8d896969/Fulham-Crystal-Palace-October-24-2020-Premier-League
4,2020-09-12,Fri,Matchweek 7,Away,L 0–2,Crystal Palace,Wolves,Y,LW,90,1,1,0,1,0,0,2,0.0,2,2,0,2,0,1,0,0,/en/matches/e1741638/Wolverhampton-Wanderers-Crystal-Palace-October-30-2020-Premier-League
5,2020-09-12,Sat,Matchweek 8,Home,W 4–1,Crystal Palace,Leeds United,Y,FW,90,2,0,0,2,0,0,1,0.0,1,0,0,0,1,3,0,0,/en/matches/527aee54/Crystal-Palace-Leeds-United-November-7-2020-Premier-League
6,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2020-09-12,Sun,Matchweek 11,Away,W 5–1,Crystal Palace,West Brom,Y,FW,80,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,/en/matches/ac9d70e3/West-Bromwich-Albion-Crystal-Palace-December-6-2020-Premier-League
8,2020-09-12,Sun,Matchweek 12,Home,D 1–1,Crystal Palace,Tottenham,Y,FW,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,/en/matches/9b0e267e/Crystal-Palace-Tottenham-Hotspur-December-13-2020-Premier-League
9,2020-09-12,Wed,Matchweek 13,Away,D 1–1,Crystal Palace,West Ham,Y,"FW,LM",90,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,/en/matches/98bf02e0/West-Ham-United-Crystal-Palace-December-16-2020-Premier-League
10,2020-09-12,Sat,Matchweek 14,Home,L 0–7,Crystal Palace,Liverpool,Y,FW,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,/en/matches/d05715a8/Crystal-Palace-Liverpool-December-19-2020-Premier-League
11,2020-09-12,Sat,Matchweek 15,Away,L 0–3,Crystal Palace,Aston Villa,Y,"FW,LM",90,2,1,1,1,0,1,3,33.3,2,0,0,0,0,2,0,0,/en/matches/537b6ef8/Aston-Villa-Crystal-Palace-December-26-2020-Premier-League
12,2020-09-12,Mon,Matchweek 16,Home,D 1–1,Crystal Palace,Leicester City,Y,FW,90,1,1,0,1,0,1,3,33.3,2,1,0,1,3,4,0,0,/en/matches/77437741/Crystal-Palace-Leicester-City-December-28-2020-Premier-League
13,2020-09-12,Sat,Matchweek 17,Home,W 2–0,Crystal Palace,Sheffield Utd,Y,FW,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,/en/matches/84a373f5/Crystal-Palace-Sheffield-United-January-2-2021-Premier-League
14,2020-09-12,Thu,Matchweek 18,Away,D 0–0,Crystal Palace,Arsenal,Y,FW,90,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,0,0,/en/matches/0476b43a/Arsenal-Crystal-Palace-January-14-2021-Premier-League
15,2020-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2020-09-12,Tue,Matchweek 20,Home,L 2–3,Crystal Palace,West Ham,Y,"FW,LM",90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,/en/matches/aab6365d/Crystal-Palace-West-Ham-United-January-26-2021-Premier-League
17,2020-09-12,Sat,Matchweek 21,Home,W 1–0,Crystal Palace,Wolves,Y,LW,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,/en/matches/111bd050/Crystal-Palace-Wolverhampton-Wanderers-January-30-2021-Premier-League
18,2020-09-12,Tue,Matchweek 22,Away,W 2–1,Crystal Palace,Newcastle Utd,Y,FW,57,2,2,0,2,0,1,1,100.0,0,1,0,1,0,2,0,0,/en/matches/ca8297c0/Newcastle-United-Crystal-Palace-February-2-2021-Premier-League
