,Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,Match Report
0,2020-09-13,Sun,Premier League,Matchweek 1,Away,W 1–0,Everton,Tottenham,Y,CB,90,0,0,0,0,1,0,0,0,69,0,3,2,0.0,0.0,0.0,0,0,52,57,91.2,2,42,0,0,0,/en/matches/fc7f9aa1/Tottenham-Hotspur-Everton-September-13-2020-Premier-League
1,2020-09-19,Sat,Premier League,Matchweek 2,Home,W 5–2,Everton,West Brom,Y,CB,90,0,0,0,0,0,0,0,0,137,1,2,1,0.0,0.0,0.0,0,0,125,130,96.2,4,111,0,0,0,/en/matches/45bd1880/Everton-West-Bromwich-Albion-September-19-2020-Premier-League
2,2020-09-26,Sat,Premier League,Matchweek 3,Away,W 2–1,Everton,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,69,1,1,0,0.0,0.0,0.0,0,0,54,60,90.0,1,39,0,0,0,/en/matches/7387a72e/Crystal-Palace-Everton-September-26-2020-Premier-League
3,2020-10-03,Sat,Premier League,Matchweek 4,Home,W 4–2,Everton,Brighton,Y,CB,90,1,0,0,0,1,1,0,0,58,1,4,5,0.3,0.3,0.0,0,0,40,43,93.0,0,36,0,0,0,/en/matches/3cbb397e/Everton-Brighton-and-Hove-Albion-October-3-2020-Premier-League
4,2020-10-09,Fri,WCQ,WCQ — CONMEBOL (M),Home,W 3–0,co Colombia,ve Venezuela,Y,CB,90,0,0,0,0,0,0,0,0,,,1,,,,,,,,,,,,,,,/en/matches/93790aa0/Colombia-Venezuela-October-9-2020-WCQ----CONMEBOL-M
5,2020-10-17,Sat,Premier League,Matchweek 5,Home,D 2–2,Everton,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,1,0,32,44,72.7,1,29,0,0,0,/en/matches/6da04e2d/Merseyside-Derby-Everton-Liverpool-October-17-2020-Premier-League
6,2020-10-25,Sun,Premier League,Matchweek 6,Away,L 0–2,Everton,Southampton,Y,CB,90,0,0,0,0,1,1,0,0,79,0,1,1,0.0,0.0,0.0,0,0,70,75,93.3,0,64,0,0,0,/en/matches/6439c025/Southampton-Everton-October-25-2020-Premier-League
7,2020-11-01,Sun,Premier League,Matchweek 7,Away,L 1–2,Everton,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,1,0,74,0,0,1,0.0,0.0,0.0,0,0,69,70,98.6,1,54,0,0,0,/en/matches/448a43ee/Newcastle-United-Everton-November-1-2020-Premier-League
8,2020-11-13,Fri,WCQ,WCQ — CONMEBOL (M),Home,L 0–3,co Colombia,uy Uruguay,Y,CB,89,0,0,0,0,0,0,2,1,,,1,,,,,,,,,,,,,,,/en/matches/7e293483/Colombia-Uruguay-November-13-2020-WCQ----CONMEBOL-M
9,2020-11-22,Sun,Premier League,Matchweek 9,Away,W 3–2,Everton,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,52,2,0,3,0.0,0.0,0.0,0,0,33,43,76.7,0,33,0,0,0,/en/matches/13524225/Fulham-Everton-November-22-2020-Premier-League
